filename,width,height,class,xmin,ymin,xmax,ymax
V_DRONE_051161_066_png.rf.0001a99d63bbba7f08dd8580bb5b753f.jpg,640,640,Drone,461,293,485,317
V_HELICOPTER_044268_188_png.rf.00041ff6647c6e2350b9c0119b992e9d.jpg,640,640,Helicopter,256,257,420,408
V_DRONE_012122_052_png.rf.000f2774c67c50b94ea4eea1735838cc.jpg,640,640,Drone,429,126,462,157
V_AIRPLANE_01313_121_png.rf.00161ef711298381ced3fc67b7fe606e.jpg,640,640,AirPlane,335,355,377,394
V_HELICOPTER_038262_028_png.rf.001a62713e5cf2c6753330806ce94959.jpg,640,640,Helicopter,323,255,386,316
V_HELICOPTER_038262_028_png.rf.001a62713e5cf2c6753330806ce94959.jpg,640,640,Helicopter,143,431,207,499

V_HELICOPTER_019243_140_png.rf.002ce72afe464e9f04844bcc1fe64109.jpg,640,640,Helicopter,129,145,231,264
V_HELICOPTER_049273_223_png.rf.002c7103d4391a87d274f5d1b1396e6a.jpg,640,640,Helicopter,169,251,402,424

V_HELICOPTER_046270_083_png.rf.00344e15725734670fe79e658009bcfe.jpg,640,640,Helicopter,357,315,394,358


V_DRONE_105215_049_png.rf.0044accab906013c2e0466a595248e8e.jpg,640,640,Drone,55,412,75,441

V_HELICOPTER_019243_001_png.rf.00699261abbb26d470323304ddf6a51e.jpg,640,640,Helicopter,196,193,271,279
V_HELICOPTER_054278_022_png.rf.006b1101ce4ca92bf81650cfd5dadb83.jpg,640,640,Helicopter,166,281,295,407
V_AIRPLANE_01010_251_png.rf.00685f4f10cdeea4f3a577f4ccfd797e.jpg,640,640,AirPlane,352,421,415,488
V_DRONE_110220_215_png.rf.0072ebda57a4847e94301fdeb28daf75.jpg,640,640,Drone,253,297,289,340
V_DRONE_033143_099_png.rf.00785be714c598837e34ae8eaa178285.jpg,640,640,Drone,442,263,482,294
V_DRONE_005115_173_png.rf.0076ae893804fdee592837e6e35a199f.jpg,640,640,Drone,271,179,317,214
V_HELICOPTER_052276_031_png.rf.008027181bea3b9e32f2e8bd8b26fd91.jpg,640,640,Helicopter,243,324,274,358
V_DRONE_002112_084_png.rf.00830ba972200ab09baf9f4fa1bc9c35.jpg,640,640,Drone,400,130,435,170
V_DRONE_062172_062_png.rf.0088386cdc7ccf5c64600ed6cdb11c61.jpg,640,640,Drone,259,156,323,223


V_DRONE_015125_283_png.rf.0094125f01f2454697ec4ee1639aeeb8.jpg,640,640,Drone,373,165,412,205

V_AIRPLANE_02222_257_png.rf.00970b4a191092595a11ae14b9a9cd6e.jpg,640,640,AirPlane,458,299,479,320

V_DRONE_020130_291_png.rf.00a000f99f8bf9f2f90da536177e96ad.jpg,640,640,Drone,366,58,410,96
V_AIRPLANE_02020_056_png.rf.009be2b337cb9a7d35ef841588f8ceb5.jpg,640,640,AirPlane,265,217,297,255
V_HELICOPTER_034258_208_png.rf.00a2941147788ba8d972a644744bafcc.jpg,640,640,Helicopter,320,231,391,316
